t,v,r
377.000000,47870.000007,57909000006.593452
378.000000,47870.000007,57909000006.608635
379.000000,47870.000007,57909000006.623810
380.000000,47870.000007,57909000006.638969
381.000000,47870.000007,57909000006.654114
382.000000,47870.000007,57909000006.669243
383.000000,47870.000007,57909000006.684364
384.000000,47870.000007,57909000006.699471
385.000000,47870.000007,57909000006.714561
386.000000,47870.000007,57909000006.729645
387.000000,47870.000007,57909000006.744713
388.000000,47870.000007,57909000006.759781
389.000000,47870.000007,57909000006.774811
390.000000,47870.000007,57909000006.789856
391.000000,47870.000007,57909000006.804878
392.000000,47870.000007,57909000006.819885
393.000000,47870.000007,57909000006.834885
394.000000,47870.000007,57909000006.849861
395.000000,47870.000007,57909000006.864845
396.000000,47870.000007,57909000006.879799
397.000000,47870.000007,57909000006.894753
398.000000,47870.000007,57909000006.909683
399.000000,47870.000007,57909000006.924614
400.000000,47870.000007,57909000006.939522
401.000000,47870.000007,57909000006.954422
402.000000,47870.000007,57909000006.969307
403.000000,47870.000007,57909000006.984192
404.000000,47870.000007,57909000006.999054
405.000000,47870.000007,57909000007.013901
406.000000,47870.000007,57909000007.028740
407.000000,47870.000007,57909000007.043564
408.000000,47870.000007,57909000007.058388
409.000000,47870.000007,57909000007.073189
410.000000,47870.000008,57909000007.087975
411.000000,47870.000008,57909000007.102753
412.000000,47870.000008,57909000007.117516
413.000000,47870.000008,57909000007.132271
414.000000,47870.000008,57909000007.147011
415.000000,47870.000008,57909000007.161743
416.000000,47870.000008,57909000007.176460
417.000000,47870.000008,57909000007.191162
418.000000,47870.000008,57909000007.205849
419.000000,47870.000008,57909000007.220535
420.000000,47870.000008,57909000007.235199
421.000000,47870.000008,57909000007.249847
422.000000,47870.000008,57909000007.264496
423.000000,47870.000008,57909000007.279129
424.000000,47870.000008,57909000007.293755
425.000000,47870.000008,57909000007.308357
426.000000,47870.000008,57909000007.322945
427.000000,47870.000008,57909000007.337532
428.000000,47870.000008,57909000007.352104
429.000000,47870.000008,57909000007.366653
430.000000,47870.000008,57909000007.381203
431.000000,47870.000008,57909000007.395744
432.000000,47870.000008,57909000007.410255
433.000000,47870.000008,57909000007.424767
434.000000,47870.000008,57909000007.439270
435.000000,47870.000008,57909000007.453758
436.000000,47870.000008,57909000007.468224
437.000000,47870.000008,57909000007.482689
438.000000,47870.000008,57909000007.497139
439.000000,47870.000008,57909000007.511574
440.000000,47870.000008,57909000007.525993
441.000000,47870.000008,57909000007.540398
442.000000,47870.000008,57909000007.554802
443.000000,47870.000008,57909000007.569183
444.000000,47870.000008,57909000007.583557
445.000000,47870.000008,57909000007.597916
446.000000,47870.000008,57909000007.612274
447.000000,47870.000008,57909000007.626602
448.000000,47870.000008,57909000007.640930
449.000000,47870.000008,57909000007.655251
450.000000,47870.000008,57909000007.669556
451.000000,47870.000008,57909000007.683838
452.000000,47870.000008,57909000007.698112
453.000000,47870.000008,57909000007.712379
454.000000,47870.000008,57909000007.726631
455.000000,47870.000008,57909000007.740875
456.000000,47870.000008,57909000007.755096
457.000000,47870.000008,57909000007.769318
458.000000,47870.000008,57909000007.783524
459.000000,47870.000009,57909000007.797714
